airline_name,date,route ,origin,origin code,destination code,destination,layover 1,layover 2,overall_rating,seat_comfort_rating,cabin_staff_rating,inflight_entertainment_rating,value_money_rating
aegean-airlines,2015-08-01,athens|larnaca,athens,ATH,LCA,larnaca,,,5,5,5,,5
aegean-airlines,2015-07-28,athens|london,athens,ATH,LHR,london,,,4,4,5,2,4
aegean-airlines,2015-07-26,brussels|heraklion,brussels,BRU,HER,heraklion,,,4.5,4,5,,4
aegean-airlines,2015-07-21,mykonos|athens,mykonos,JMK,ATH,athens,,,4,4,4,,4
aegean-airlines,2015-07-21,athens|santorini,athens,ATH,JTR,santorini,,,4,4,5,,3
aegean-airlines,2015-07-12,ath|mxp,ath,ATH,MXP,mxp,,,5,4,5,,5
aegean-airlines,2015-07-12,fco|lca,fco,FCO,LCA,lca,,,5,4,5,,5
aegean-airlines,2015-07-12,lca|ath,lca,LCA,ATH,ath,,,5,4,5,,5
aegean-airlines,2015-07-07,zrh|jmk,zrh,ZRH,JMK,jmk,,,5,5,5,,5
aegean-airlines,2015-07-07,jmk|ath,jmk,JMK,ATH,ath,,,5,5,5,,5
aegean-airlines,2015-07-07,belfast|corfu,belfast,BFS,CFU,corfu,,,4.5,4,5,2,5
aegean-airlines,2015-06-20,zurich|athens,zurich,ZRH,ATH,athens,,,4,4,5,,5
aegean-airlines,2015-06-19,rome|athens,rome,FCO,ATH,athens,,,4,4,5,,5
aegean-airlines,2015-06-17,athens|heathrow,athens,ATH,LHR,heathrow,,,5,5,5,,5
aegean-airlines,2015-06-16,arlanda|athens,arlanda,ARN,ATH,athens,,,4.5,4,4,,5
aegean-airlines,2015-06-16,athens|athens,athens,ATH,ATH,athens,,,4.5,4,4,,5
aegean-airlines,2015-06-12,lhr|ath,lhr,LHR,ATH,ath,,,4.5,4,4,,4
aer-lingus,2015-07-28,snn|bos,snn,SNN,BOS,bos,,,1.5,2,1,1,2
aer-lingus,2015-07-27,shannon|boston,shannon,SNN,BOS,boston,,,2.5,3,4,1,1
aer-lingus,2015-07-27,madrid|dublin,madrid,MAD,DUB,dublin,,,4.5,5,5,,5
aer-lingus,2015-07-26,dublin|jersey,dublin,DUB,JER,jersey,,,5,5,5,,5
aer-lingus,2015-07-26,new york|warsaw,new york,JFK,WAW,warsaw,,,4,5,5,3,5
aer-lingus,2015-07-26,warsaw|dublin,warsaw,WAW,DUB,dublin,,,4,5,5,3,5
aer-lingus,2015-07-25,lhr|bhd,lhr,LHR,BHD,bhd,,,4.5,4,5,,4
aer-lingus,2015-07-22,dusseldorf|dublin,dusseldorf,DUS,DUB,dublin,,,1,2,2,,1
aer-lingus,2015-07-21,manchester|dublin,manchester,MAN,DUB,dublin,,,0.5,2,2,,3
aer-lingus,2015-07-20,chicago (ord)|dublin,chicago (ord),ORD,DUB,dublin,,,0.5,1,1,1,1
aer-lingus,2015-07-16,dublin|london heathrow,dublin,DUB,LHR,london heathrow,,,4,4,5,2,4
aer-lingus,2015-07-16,belfast|gatwick,belfast,BFS,LGW,gatwick,,,3.5,1,4,,4
aer-lingus,2015-07-13,dublin|san francisco,dublin,DUB,SFO,san francisco,,,5,5,5,4,4
aer-lingus,2015-07-06,sfo|dub,sfo,SFO,DUB,dub,,,3.5,3,4,4,4
aer-lingus,2015-06-19,cardiff|dublin,cardiff,CWL,DUB,dublin,,,5,3,5,,4
aer-lingus,2015-06-12,"jfk-snn-lhr, fco-dub-jfk","jfk-snn-lhr, fco-dub-jfk",JFK,SNN,,,,4.5,3,4,4,5
aer-lingus,2015-06-12,"jfk-snn-lhr, fco-dub-jfk","jfk-snn-lhr, fco-dub-jfk",SNN,LHR,,,,4.5,3,4,4,5
aer-lingus,2015-06-12,"jfk-snn-lhr, fco-dub-jfk","jfk-snn-lhr, fco-dub-jfk",FCO,DUB,,,,4.5,3,4,4,5
aer-lingus,2015-06-12,"jfk-snn-lhr, fco-dub-jfk","jfk-snn-lhr, fco-dub-jfk",DUB,JFK,,,,4.5,3,4,4,5
aeroflot-russian-airlines,2015-07-21,new york jfk|moscow,new york jfk,JFK,SVO,moscow,,,4,4,4,3,5
aeroflot-russian-airlines,2015-07-20,london|bishkek,london,LHR,FRU,bishkek,,,3.5,4,4,3,3
aeroflot-russian-airlines,2015-07-20,bishkek|moscow,bishkek,FRU,SVO,moscow,,,3.5,4,4,3,3
aeroflot-russian-airlines,2015-07-19,shanghai|prague,shanghai,PVG,PRG,prague,,,5,5,5,5,5
aeroflot-russian-airlines,2015-07-19,prague|moscow,prague,PRG,SVO,moscow,,,5,5,5,5,5
aeroflot-russian-airlines,2015-07-07,rome|kyo,rome,FCO,KYO,kyo,,,4,3,3,4,5
aeroflot-russian-airlines,2015-07-07,kyo|moscow,kyo,KYO,SVO,moscow,,,4,3,3,4,5
