query_id,origin,destination,algorithm,heuristic,maxStops,edges_relaxed,nodes_visited,runtime_ms,path_len,total_weight
1,davao,málaga,Dijkstra,none,unlimited,2336,652,3,0,0.000
1,davao,málaga,A*,zero,unlimited,2336,652,3,0,0.000
1,davao,málaga,A*,hop,unlimited,2336,652,102,0,0.000
2,bos,gua,Dijkstra,none,unlimited,1539,203,0,5,6.200
2,bos,gua,A*,zero,unlimited,1539,203,1,5,6.200
2,bos,gua,A*,hop,unlimited,295,16,6,5,6.200
3,cleveland ohio,lga,Dijkstra,none,2,1,2,0,0,0.000
3,cleveland ohio,lga,A*,zero,2,1,2,0,0,0.000
3,cleveland ohio,lga,A*,hop,2,1,2,0,0,0.000
4,managua,mbj,Dijkstra,none,unlimited,0,1,1,0,0.000
4,managua,mbj,A*,zero,unlimited,0,1,0,0,0.000
4,managua,mbj,A*,hop,unlimited,0,1,0,0,0.000
5,dme,dfw,Dijkstra,none,unlimited,1550,208,1,7,9.867
5,dme,dfw,A*,zero,unlimited,1550,208,0,7,9.867
5,dme,dfw,A*,hop,unlimited,283,22,6,7,9.867
6,santiago,cairns,Dijkstra,none,unlimited,1340,158,0,4,10.300
6,santiago,cairns,A*,zero,unlimited,1340,158,1,4,10.300
6,santiago,cairns,A*,hop,unlimited,318,19,6,4,10.300
7,salzburg,keflavik,Dijkstra,none,unlimited,1958,363,1,7,9.200
7,salzburg,keflavik,A*,zero,unlimited,1958,363,1,7,9.200
7,salzburg,keflavik,A*,hop,unlimited,826,51,15,7,9.200
8,las,"ohio|eze""",Dijkstra,none,2,538,56,0,0,0.000
8,las,"ohio|eze""",A*,zero,2,538,56,1,0,0.000
8,las,"ohio|eze""",A*,hop,2,538,56,6,0,0.000
9,zakynthos,ankara,Dijkstra,none,1,0,1,0,0,0.000
9,zakynthos,ankara,A*,zero,1,0,1,0,0,0.000
9,zakynthos,ankara,A*,hop,1,0,1,0,0,0.000
10,pittsburgh,dammam,Dijkstra,none,unlimited,2023,386,0,5,16.689
10,pittsburgh,dammam,A*,zero,unlimited,2023,386,1,5,16.689
10,pittsburgh,dammam,A*,hop,unlimited,713,45,17,5,16.689
11,hodaidah,huntsville,Dijkstra,none,unlimited,0,1,0,0,0.000
